sourceid,ID,RAdeg,DEdeg,g_mean,g_wmean,g_MAD,g_IQR,g_f60,g_f70,g_f80,g_f90,g_skew,g_kurtosis,g_welsh_J,g_welsh_K,r_mean,r_wmean,r_MAD,r_IQR,r_f60,r_f70,r_f80,r_f90,r_skew,r_kurtosis,r_welsh_J,r_welsh_K,label
697658,ZTFJ214349.79+434216.8,325.95749,43.70467,15.631296038333334,15.633995884647614,0.09106779999999937,0.19033265000000021,0.2321321799999989,0.2619478149999992,0.2843439099999987,0.32762178499999983,0.35630391645361253,-1.170934379427971,0.010893995908138809,-1.953015475309488,14.821084185271317,14.822265180379604,0.08786869999999958,0.2092009000000008,0.23997484000000036,0.25378228000000114,0.27358326000000055,0.3139530199999996,0.25608225773973314,-1.3568170454292932,0.010736371613328518,1.0756827657351609,EW
132386,ZTFJ054653.53+300611.7,86.72308,30.10327,20.793740350000004,20.83659199896336,0.17531685000000152,0.34402277500000267,0.40125997999999896,0.46974850000000146,0.5493001599999978,0.7013141450000013,-0.5912378101577408,1.3843430600635003,0.048036821466091534,-0.6208546659076507,19.68673350480769,19.729088820405934,0.10663219999999995,0.2541069749999991,0.3306846599999993,0.36840575000000086,0.43837793999999874,0.5009271549999994,0.5518441865346723,-0.49516487712410084,0.026938793769530067,1.3497467968512264,EW
559597,ZTFJ200049.49+314356.3,300.20621,31.73233,20.265750012857144,20.28926349274945,0.07994650000000014,0.1577834499999966,0.19203867999999957,0.25001182000000455,0.31455207999999857,0.48352438999999947,-0.20005829525049668,2.450058444236518,0.016581246791190423,2.8491755802694256,18.779090274566475,18.785089783929347,0.05221939999999847,0.10446740000000077,0.12991136000000125,0.15591197999999906,0.17757418000000058,0.23272895999999932,0.2535261450059319,-0.0641390489178919,0.004363629583853961,0.39416269562366046,EW
150294,ZTFJ061726.80+194949.6,94.36169,19.83046,16.127705201086954,16.12906532065031,0.056082699999999264,0.11139534999999867,0.12292061999999859,0.1434096899999986,0.15557520000000125,0.1681953350000036,0.04998584580531601,-1.3762611381314942,0.0030559067974349104,-0.265416752917694,15.47857194375,15.47979776524543,0.05503465000000052,0.11357044999999921,0.12769310000000011,0.1401822750000008,0.15099524999999936,0.16535802499999974,0.17114016182076158,-1.4937144756337961,0.0031923509649083664,0.4303470614106962,RSCVN
365972,ZTFJ190711.39+163358.9,286.79749,16.56637,18.136317854430384,18.149498061854903,0.11068339999999743,0.2542591499999993,0.29127426000000156,0.3441785750000008,0.3918407700000017,0.42846930500000013,0.4525129974031513,-1.0362478280673906,0.017677423649310048,-4.984770808997289,17.242475379428573,17.254283945169,0.11782459999999872,0.24642375000000172,0.28583869999999933,0.32865297000000027,0.3704395600000048,0.3951177699999988,0.28296242401798377,-1.2333578818436282,0.016551062296079368,-4.169134634041235,EW
324394,ZTFJ185356.81+082933.7,283.48673,8.4927,21.37382093103448,21.432886464800866,0.1978340000000003,0.3574944000000002,0.5867553199999982,0.6825588200000006,0.8974540000000033,1.1233119800000004,-0.47126992797807987,-0.16914496373583354,0.09171935342263739,2.6386589073350253,18.069213801273882,18.073552454099104,0.05191420000000235,0.10223200000000077,0.11757588000000041,0.14780580000000043,0.18372653999999855,0.23896792000000033,-0.02913131314067952,-0.19977026741172788,0.004354881980944645,6.713639999459251,SR
706705,ZTFJ215352.85+604353.2,328.47021,60.73147,17.818800209411766,17.820556997103626,0.030423149999998955,0.061734649999998226,0.08052634000000225,0.09622838499999986,0.12138703999999834,0.1763841399999997,0.01899764603972872,0.6909211985371089,0.0020820304154354975,0.18826186221556157,16.573051037172778,16.573517105732346,0.018648200000001225,0.03738024999999823,0.05159180000000063,0.06542964999999867,0.07957070000000144,0.09527299999999883,-0.153332902888821,-0.11170795583013149,0.0006913303258984302,-0.5390959373383067,BYDra
27969,ZTFJ012051.48+574117.2,20.21453,57.68813,19.989414868292684,20.02649348938079,0.10036470000000008,0.1998671999999999,0.2958678999999975,0.39941599999999866,0.46290970000000087,0.48501199999999756,0.6728657602552692,-0.4159160799712889,0.025167015024247074,0.6540868196353291,19.00609520746269,19.0307388921656,0.10152429999999768,0.21274470000000179,0.2853091799999987,0.3008277599999971,0.342890520000001,0.42188832000000076,0.452473229458353,-0.8485073120114097,0.01612594882869938,2.036442624398289,EW
418850,ZTFJ192145.30+221258.8,290.43879,22.21635,15.827924512883435,15.82946589733927,0.03462700000000041,0.07063530000000107,0.09120655999999983,0.11584664999999994,0.1424106199999997,0.19339344999999852,0.7099783123918815,0.6519157151175525,0.0026866390947351197,4.924246027448181,13.405153584946238,13.405294797615584,0.029454650000000804,0.06107280000000159,0.08243279999999942,0.10940762500000112,0.1247272499999994,0.1605288500000004,0.753601899060964,0.6915386865857029,0.002006134714363393,5.848007748527148,SR
215723,ZTFJ162554.80-082347.7,246.47835,-8.39659,16.09177767142857,16.101964413115834,0.19537830000000067,0.3838615000000001,0.4200277800000016,0.4530345399999991,0.5389117700000003,0.5768259449999995,-0.17779897010145387,-1.2935981107501775,0.03489829273562605,-1.4755393058653652,15.61827407027027,15.621788842595684,0.08164690000000085,0.15570169999999983,0.19401494000000064,0.26952346000000027,0.32953417999999957,0.39859810000000095,0.10952270812423436,-0.7891787954717411,0.012538999945213927,-0.3783491962726141,RR
468287,ZTFJ193532.70+200729.2,293.88625,20.1248,16.91985589602649,16.922604424320767,0.02341069999999945,0.04732894999999715,0.06519310000000189,0.08772564999999943,0.12421410000000321,0.2725839499999978,2.3391631880667867,5.381173572032607,0.003615534521905997,0.5740457050229013,15.754646271657755,15.755210538438883,0.013963700000001467,0.028848650000000475,0.04000321999999912,0.05326214000000107,0.10564117999999922,0.16624508000000127,2.5222413746959513,7.245308858521179,0.0017017867402707807,-0.11132946543896965,EA
495557,ZTFJ194211.30+122101.8,295.54712,12.35052,18.07176638659794,18.07552899974106,0.03784654999999937,0.07943677500000135,0.0981742799999985,0.1169518049999958,0.13505976000000075,0.19395796499999918,0.3314643628667875,0.18968114983117168,0.002614652597948442,2.019890109141454,17.12081678269231,17.122307683280784,0.03311630000000143,0.06444450000000046,0.08235853999999776,0.10809369000000046,0.12903121000000084,0.17584877500000218,-0.3593762478395214,0.9832149239182177,0.002319358220920392,0.4219388312692146,EW
